ID,Use Case,AI Product,Delivery Owner,Status,Current Phase,Lifecycle Sub-Step,AI Governance Step,AI PO,AI Strategist,Buy/Build/Adapt,Submitter,Business Partner,Business Area,Executive Summary,Build Lead,Priority,Risk Assessment,Comments,Problem Statement,Description,Governance Notes,Timing Considerations,Is Real Data Required?,Does it Drive Internal Efficiency?,Data Scope,AI Solution or Tools of Interest,Build Status,Does it leverage AI on Products?,Build Notes,PV ID,Risk Level,In Scope,Modified By,Submission Date,Created,Submission Year,Intake & Triage Date,Risk Review Date,AI OC Review Date,AI GB Review Date,AI ARC Complete Date,Deployment/Approval Date,Completion,Stakeholders,In Build Team Scope,ADO Epic,Doc link. Funding Commitment Form,Doc link. Level of Effort,Doc link. Functional Design Document,Doc link. Technical Design Document,Doc link. Application Installation Quallification (AIQ),Doc link. Code Review,Doc link. Runbook,Doc link. Hypercare Exit Criteria,Doc link. SIT Test Scripts,Doc link. UAT Test Scripts,Modified,Total Priority,AI Validation Status,AI Monitoring Required,AI Safety and Performance Status,Financial ROI,Strategic Priority,Continuity,Regulatory priority level,Total Priority McKensey,Business Unit: Group,LOE Tshirt Size,Projected Value $,Doc link. BCFM,Doc link. URS Requirements,ROM / LOE Total Amount,Feasibility (Complexity & Data Readiness),Scalability or Reusability,Total Priority -Opt
232,Service Agent Discovery,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"Ballestero, Michael","Heller, Amanda",Build,"Janda, Moneet","Smart, Greg",GQO,,,Routine,/:x:/s/AIStrategy/IQDjEDBY-rRYRZLYqNf3krirAQhIOq3LZfirQ2QD3hF1hOI?e=chn2WY,,,Technical troubleshooting for field service engineers is inefficient due to the need to access multiple Stryker databases for lengthy and complex user and service manuals.,"03/02/2026: Probably offline review because we have different time zones.
Matt´s meeting: Tell Greg to speak with Dianet to see similarities with FSE use case.
OFFLINE REVIEW.
04/01/2026: Risk Rev: Use case risk is accurate (Low), acceptable, and escalation to the AI Operating Committee is not required. Complete the following downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Low,Yes,"Elizondo, Carlos",10/21/25,2/27/26 7:04,2025,,4/1/26,,,,,0%,,No,,,,,,,,,,,,4/6/26 6:46,33,Not Assessed,,Required,,,,,0,GQO,,,,,,,,0
233,Analytics - OTIF AI ,,,New Submission,2.Prioritization Review,01. Use Case Submission,Pending Intake & Triage,"Ballestero, Michael","Heller, Amanda",Build,"Badawy, Mohamed","Burchard, Eric",GQO,,,Routine,/:x:/s/AIStrategy/IQCa0avy7wEyRbv9V7Qj6g2gAZx81pKCov8REZH-ETDlWlU?e=KmLOOn,,,"OTIF root‑cause analysis is manual, incomplete, and unscalable, limiting visibility across PO lines, consuming significant buyer capacity, and constraining improvements to Supply Plan Attainment (SPA), backorders, and supplier performance—necessitating an automated, GenAI‑based solution.

Today, OTIF (On‑Time, In‑Full) analysis is largely manual, partial, and reactive, limiting our ability to consistently improve delivery performance and supply‑chain execution.

Each month, Buyers can only prioritize a small subset of"" top"" Non‑OTIF contributors, leaving the majority of PO lines unanalyzed due to time and capacity constraints.  

OTIF root‑cause identification requires manual review of hundreds of PO lines per month, consuming significant effort and delaying corrective action.  

The opportunity costs are unnecessary interruptions in supply to the plant sites, increased backorders, weakened supply-planning KPIs, lower SPA and increased escalations.

As volume continues to scale, the current approach is not sustainable and creates operational risk.","02/27/2026: Check why Model Performance testing is not marked.
03/02/2026: Matt´s meeting: Schedule I&T
03/19/2026: Eric contacted me that he is working full with the system restoration and will not be able to attend I&T meeting (March 24th). I proposed to re schedule but he is not ready to present because is waiting use case estimates (POC completed last year)",,TRUE,TRUE,,,0-Not Assigned,TRUE,,1006896,Low,Yes,"Perez, Alfonso",2/27/26,2/27/26 14:09,2026,,,,,,,0%,,No,,,,,,,,,,,,4/28/26 10:21,51,Not Assessed,,Required,,,,,0,GQO,,,,,,,,0
234,Designer Assistant,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Add-On,"Tarca, Thomas","Coy, Kristina",Instruments,,,Routine,/:x:/s/AIStrategy/IQB12wUEyfOwSobDKai2ADx3AfGK1g_L5sdsuCn89Fmsmb4?e=doXJnc,,,"Building compensation plans in Varicent is time consuming and requires a developer to take a set of user requirements written in text and convert those into Varicent calculations (low-code set of rules and data transformations). Additionally, the developer needs some experience with the tool and a small amount of technical knowledge. Finally, building technical documentation from scratch and then trying to find documentation takes time. 

Enter Varicent's Designer Assitant,  a chat based user interface that converts natural language into Varicent Incentive calculations and vice versa. By using the requirements as written, developers can save up to 20% of build effort by having the Designer Assistant build an initial mapping off of those requirements. Also, having an interface that can assistant in the building process enables less technical resources, such as the sales compensation teams to support in the comp plan building process, eliminating resource bottlenecks. Finally, once built, the developer, or anyone who is trying to understand a compensation plan can use the designer assitant to provide technical and functional documentation, saving time.

In short, this tool will help save developer time in the initial build out of compensation plans and creation of documentation, support eliminating resource bottlenecks, and save support/business time in locating documentation to explain the system. 
","03/06/2026: I had a meeting with Thomas and explained the process. I need to check if this could be fast tracked.
Varicent is the tool (Not approved yet)
They bought Varicent and AI capabilities are included in the package.
This is very similar to ELT assistant.
It is a chat bot that performs actions - Dev assistant
03/09/2026: Skip I&T. Risk review required.
03/25/2026: Risk Rev: Use case risk is accurate (High), acceptable, and no escalation to the AI Operating Committee is required. Thomas agreed to contact IT security for confirmation and update the group, with Olivier suggesting offline approval if no new concerns arise.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",3/2/26,3/3/26 6:04,2026,,3/25/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:14,30,Not Assessed,,Required,,,,,0,Commercial US,,,,,,,,0
235,AI for Labeling,,,New Submission,1. Ideation,,,"Ballestero, Michael","Perez, Alejandro",Build,"Perez, Dianet","Perez, Dianet",Joint Replacement,,,,,,,"The Labeling team frequently reviews and compares PDF labels during updates and system migrations—a manual, error-prone process. AI-powered label comparison would boost efficiency, reduce risk, and allow the team to focus on higher-value work.",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Ballestero, Michael",3/6/26,3/6/26 6:40,,,,,,,,0%,,No,,,,,,,,,,,,3/17/26 11:34,41,Not Assessed,,Required,1,1,1,0,3,Commercial US,,,,,,,,9
236,AI-Powered Product Label Translator,,,New Submission,1. Ideation,,,"Ballestero, Michael","Perez, Alejandro",Build,"Anastasio, James","Anastasio, James",Trauma & Extremities,,,,,,,An AI agent that translates product-specific labeling content (starting with IFUs and Op Tech documents) into multiple languages with regulatory and contextual accuracy. ​,,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Ballestero, Michael",3/6/26,3/6/26 6:46,,,,,,,,0%,,No,,,,,,,,,,,,3/17/26 11:35,46,Not Assessed,,Required,1,1,1,0,3,Commercial US,,,,,,,,9
237,AI-Powered Report Generator,,,New Submission,1. Ideation,,,"Ballestero, Michael","Ballestero, Michael",Build,"Anastasio, James","Anastasio, James",Trauma & Extremities,,,,,,,"An AI-driven tool that automates data analysis and report creation, delivering fast, precise, and actionable insights. ​",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Ballestero, Michael",3/6/26,3/6/26 6:49,,,,,,,,0%,,No,,,,,,,,,,,,3/17/26 11:36,42,Not Assessed,,Required,1,1,1,0,3,Commercial US,,,,,,,,9
238,AI for Software Design Assurance Engineering,,,New Submission,1. Ideation,,,"Ballestero, Michael","Perez, Alejandro",Build,"Perez, Dianet","Perez, Dianet",Joint Replacement,,,,,,,"The Engineering team performs multiple DHF audits across NPD projects, involving manual extraction and matching of activities to documentation and approvals. AI automation would streamline this process, reduce errors, and improve audit readiness—freeing the team to focus on higher-value work. ",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Ballestero, Michael",3/6/26,3/6/26 6:53,,,,,,,,0%,,No,,,,,,,,,,,,3/17/26 11:37,42,Not Assessed,,Required,1,1,1,0,3,Commercial US,,,,,,,,9
239,AI for Clinical Research,,,New Submission,1. Ideation,,,"Ballestero, Michael","Perez, Alejandro",Build,"Perez, Dianet","Perez, Dianet",Joint Replacement,,,,,,,"The Clinical Research team supports innovation through literature reviews, manuscript writing, and data analysis—tasks that are highly manual. AI can streamline these workflows by summarizing papers, generating bibliographies, and analyzing clinical data from Stryker Health cloud, improving efficiency, accuracy, and publication quality.",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Perez, Alfonso",3/6/26,3/6/26 6:56,,,,,,,,0%,,No,,,,,,,,,,,,4/30/26 14:13,45,Not Assessed,,Required,1,1,1,0,3,Commercial US,,"$550,000.00 ",,,,,,25.5
240,AI-Powered Product Label Comparison,,,New Submission,1. Ideation,,,"Ballestero, Michael","Perez, Alejandro",Build,"Perez, Dianet","Perez, Dianet",Joint Replacement,,,,,,,"The Labeling team frequently reviews and compares PDF labels during updates and system migrations—a manual, error-prone process. AI-powered label comparison would boost efficiency, reduce risk, and allow the team to focus on higher-value work.",,,TRUE,TRUE,,,0-Not Assigned,TRUE,,,,Yes,"Perez, Alfonso",3/9/26,3/9/26 5:56,,,,,,,,0%,,No,,,,,,,,,,,,3/18/26 12:31,41,Not Assessed,,Required,1,1,1,0,3,Commercial US,,,,,,,,9
241,CSR Compass R7 Enhancement,CSR Compass,,New Submission,2.Prioritization Review,,,"Arguedas, Andre","Perez, Alejandro",Adapt,"Perez, Dianet","Perez, Dianet",Joint Replacement,,,,,,,,,,TRUE,TRUE,,,0-Not Assigned,TRUE,,1010585,,Yes,"Perez, Alfonso",3/9/26,3/9/26 6:01,,,,,,,,0%,,No,,,,,,,,,,,,4/15/26 10:03,30,Not Assessed,,Required,5,4,1,0,10,Commercial US,,"$500,000.00 ",,https://teams.microsoft.com/l/message/19:5064f62e-eab0-470c-981a-0b1472915b53_8a8d1e64-3a43-447d-9bd3-33f26d92aa47@unq.gbl.spaces/1773177230102?context=%7B%22contextType%22%3A%22chat%22%7D,"$80,000.00 ",4,4,74
242,Claude & Claude code,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,"De la Torre, Gustavo",,Buy,"Moulin, Olivier",,EDT,,,Routine,/:x:/s/AIStrategy/IQCU1CVVkcDGRJJ7a6sXuZelAXlqNOTHFMeq4DK1kybmDVQ?e=xawysG,,,"We already have Copilot Github and Cursor AI approved as assistant for coding, but Claude code brings it to a different level by being a fully autonomous coding agent, which can handle from end-to-end the coding part of a project. It also offer a far bigger context window ensuring that it captures all the code and not only a portion of it.","03/09/2026: I&T needed. how we will manage it?
04/01/2026: Risk Rev: Use case risk is accurate (High), acceptable, and escalation to the AI Operating Committee is not required, provided that legal and contractual safeguards are in place and the pilot is limited in scope. Complete the following downstream reviews/assessments",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",3/4/26,3/9/26 13:42,2026,3/10/26,4/1/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:03,30,Not Assessed,,Required,1,1,1,0,3,EDT,AURA/ Cobuild $30k,,,,,,,9
243,EDT escalations summary for Service Now,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Co-Build,"Segura, Vladimir",,EDT,,,Routine,/:x:/s/AIStrategy/IQD_1WovgytQS549mQZ7ltiGAS9tc3ErngnjfSXkJ81GrFg?e=1ok7ng,,,"During EDT escalations, teams must quickly understand the status, history, ownership, and context of ServiceNow tickets (incidents, requests, problems). Today this requires manual navigation across multiple records, comments, and assignment groups, which slows down analysis and increases operational noise—particularly for high‑visibility issues that do not qualify as Major Incidents.
This use case proposes leveraging Copilot to summarize and surface relevant ServiceNow ticket information to improve situational awareness, reduce time to understand issues, and help teams identify the right next actions during escalations.","03/09/2026: I&T needed.
03/31/2026: I&T: The team agreed that the use case presents medium risk. Marcelo and Matthew advised Vladimir to connect with Walter Hinz, the ServiceNow product owner, and Laurie Pizarro, the business partner for HR ServiceNow analysis, to confirm whether the required capabilities are available or in progress, and to avoid duplicative development if possible. From a risk perspective, no risk review is required and no AIOC is needed.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Elizondo, Carlos",3/5/26,3/9/26 13:51,2026,3/31/26,,,,,,0%,,No,,,,,,,,,,,,3/31/26 20:46,30,Not Assessed,,Required,1,1,1,0,3,EDT,AURA/ Cobuild $30k,,,,,,,9
244,Benevity AI External Match Assurance,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Pending Assessments / AI ARC,,,Add-On,"Mihill, Vini","Roland, Terrence",Cross-Divisional,,,Routine,/:x:/s/AIStrategy/IQBdbkFize3oQKhfpyxJOQgsAcwiUvrQRNNFrmXWs_7_fZo?e=hrblEg,,,"Employees can unlock their company match for donations made to nonprofit partners on Impact by uploading a donation receipt. Employees are not required to use this feature to access their match benefit, and any documentation they upload is their decision. To be approved, receipts must meet strict quality standards that verify the donation was made to a qualified nonprofit and that no goods or services were received in return. Currently, our team pays a $17,000 annual fee on a limited number (1,200) of manual receipt reviews conducted by Benevity for submissions above a certain threshold. The Benevity team executes our preferred standards for receipt validation. We are charged per review, and resubmissions count against our allowed amount of manual reviews. In 2025, employees submitted 2,229 match requests using this process, and 1,128 required manual review by the Benevity team. Of the manually reviewed receipts, we had a 30.5% rejection rate (344 rejections). Of those rejected, 34% (116) were due to missing name, donation date or nonprofit organization.

Employees have expressed frustration with this experience, in part because receipt requirements are documented separately in a document housed on Connect rather than being integrated into the submission process. Further, if rejected, employees must resubmit the request entirely, which increases the volume of receipts that require manual review.

Benevity has recently introduced an AI‑powered feature that pre‑screens donation receipts in real time and alerts employees to any issues directly on the submission screen. This enables employees to correct errors and re‑upload appropriate documentation before completing their submission. When an employee uploads a receipt, an A.I. validator scans the document and extracts four key pieces of information to auto-populate the form: donor name, donation amount, donation date, and nonprofit organization name. If this feature had been enabled in 2025, at least  34% (116) of the 1,128 manually reviewed receipts were resubmissions which could have been avoided.","03/09/2026: Benevity is a company wide approved enterprise tool.
The AI feature itself is an optional tool that employees can use to get their company match for donations they made to an eligible nonprofit
03/09/2026: No I&T.
04/08/2026: Risk Review: Use case risk is accurate (Medium), acceptable, and escalation to the AI Operating Committee is not required. Complete the downstream reviews/assessments ",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,Medium,Yes,"Abreu, Matthew",3/6/26,3/9/26 14:13,2026,,4/8/26,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:03,30,Not Assessed,,Required,1,1,1,0,3,Cross-Divisional,AURA/ Cobuild $30k,,,,,,,9
245,SpendHQ Renewal assessment,,,On Hold,1. Ideation,02. Intake & Triage,Additional Info Needed,"Ballestero, Michael",,Buy,"Kourtjian, Chuck","Lewis, Kymberly",GQO,,,Routine,/:x:/s/AIStrategy/IQDd9tGz3q7gSKQEWiwZyPf-Aa-sErWIL7ssVgcOtEuZT1k?e=yitCjK,,,SpendHQ is an existing vendor. This assessment is required to renew the MSA,"03/09/2026: I&T needed.
CC Victor Loria and Chuck.
04/14/2026: Kendra suggested that the immediate next step should be a direct conversation with SpendHQ to clarify how AI is used, what modules are involved, and whether any contract amendments are needed to address AI-related risks before proceeding with the AI committee review.",,TRUE,TRUE,,,0-Not Assigned,TRUE,,,High,Yes,"Abreu, Matthew",3/6/26,3/9/26 14:27,2026,4/14/26,,,,,,0%,,No,,,,,,,,,,,,5/4/26 8:10,30,Not Assessed,,Required,1,1,1,0,3,GQO,AURA/ Cobuild $30k,,,,,,,9
246,myMako R2,,,In-Progress,3. Evaluation,11. Active Downstream Assessments,Scheduled for AI OC Review,"Arguedas, Andre",,Build,"Camoratto, Jack","Goodfriend, Michael",Spine,,,Routine,/:x:/s/AIStrategy/IQDDVsuGgB47RKE8LoImu9s3AfTZdv0-71Az5ZScH6oLqc0?e=1OHgpl,,,"Problem Statement
Robotic-assisted surgeries generate a variety of procedural data (e.g., resection time, surgery duration). This information is typically available as individual data points, making it difficult and time-consuming for surgeons to quickly review and interpret their activity over time.

Use Case
The myMako app generates a concise AI-powered weekly summary that converts key surgical data into a short natural-language report, enabling surgeons to quickly review and understand their activity and performance from the past week.","03/09/2026: Matt requested to fast track this use case. Use case was received by chat.
03/25/2026: Risk Rev: Use case risk is accurate (High), acceptable, and escalation to the AI Operating Committee is required (as it is customer-facing). Complete the downstream reviews/assessments ",,TRUE,TRUE,,,0-Not Assigned,TRUE,,20248251,High,Yes,"Elizondo, Carlos",3/9/26,3/9/26 20:42,2026,,3/25/26,4/9/26,,,,0%,,No,,,,,,,,,,,,3/27/26 7:21,47,Not Assessed,,Not Required,1,1,1,0,3,Other,AURA/ Cobuild $30k,,,,,,,9
